Feature_1;Feature_2;Feature_3;Feature_4;Feature_5;Feature_6;Feature_7;Feature_8;Feature_9;Feature_10;Feature_11;Feature_12;Feature_13;Feature_14;Feature_15;Feature_16;Feature_17;Feature_18;Feature_19;Feature_20;Feature_21;Feature_22;Feature_23;Feature_24;Feature_25;Feature_26;Feature_27;Feature_28;Feature_29;Feature_30;Feature_31;Feature_32;Output
A;A;A;C;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;62;;6;0;0;0;0;0;
A;A;A;C;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;525;;53;0;0;0;0;0;
A;A;A;C;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;313;;31;0;0;0;0;0;
A;A;A;C;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;864;;86;0;0;0;0;0;
A;A;A;C;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;0;;0;0;0;0;0;0;
A;A;A;C;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;163;;16;0;0;0;0;0;
A;A;A;C;;G;C;A;;;;0;0;;;0;0;0;0;0;0;;0;;2371;;237;0;0;0;0;0;
A;A;A;D;A;H;C;A;2009;;;55;0;;25;;135;0;95;0;0;2011;0;846;846;338;338;1;1;5;1;9;1875
F;A;A;C;A;B;D;A;;;80;31;11;;;0;0;0;0;;;;0;7535;7527;1108;1106;0;0;0;0;0;
F;A;A;D;A;B;D;A;;;;0;0;;30;0;0;0;;0;3;2016;;;35;;21;0;0;0;0;0;834
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;14;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;14;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;14;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;14;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;8;1;13;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;14;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;14;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;14;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;10;1;15;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;12;1;18;
A;A;A;B;A;C;E;A;;;702;0;43;;;0;0;0;0;0;0;;0;;;;;1;1;14;1;21;
A;A;A;B;A;C;E;A;;2002;;0;40;;;;;;;0;;;;;0;;;1;1;20;1;29;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;14;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;14;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;5;1;7;
F;A;A;B;A;C;E;A;;1998;399;0;16;;;24;0;;;0;;;;;0;;;1;1;59;1;88;
B;A;A;C;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;14;
A;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;;;;;0;;;1;1;3;1;3;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;14;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;6;1;8;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;5;1;6;
C;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;15;
B;A;A;C;A;C;E;A;;2002;;125;0;4;;0;0;0;;0;-32;2005;0;0;2571;0;437;1;1;10;1;16;1373
B;A;A;C;A;C;E;A;;;;0;0;;;0;0;;;0;0;;0;;2015;;343;1;1;2;1;3;
E;A;A;C;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;1007;;101;0;0;0;0;0;
A;A;A;D;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;1362;;185;1;0;0;0;0;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;6;1;9;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;14;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;7;1;9;
A;A;A;C;A;C;E;A;;;165;0;20;;;;-41;;75;0;256;2011;;;4615;;692;1;1;55;1;74;1320
A;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;4;1;4;
A;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;4;1;4;
A;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;6;1;10;
A;A;A;B;A;C;E;A;;1999;;0;0;;;0;0;0;0;0;0;;0;;0;;;1;1;3;1;4;
A;A;A;B;A;C;E;A;;;;0;0;;;;0;;;0;;;;;0;;;1;1;11;1;16;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;14;
A;A;A;C;A;C;E;A;;2002;537;180;44;;;182;326;302;664;;332;2007;0;7463;11358;1493;2272;1;1;176;1;214;1795
A;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;10;1;15;
A;A;A;B;A;C;E;A;;;;0;13;;;0;0;0;0;0;0;;0;;;;;1;1;11;1;17;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;7;1;10;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;5;1;6;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;8;1;12;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;14;
A;A;A;D;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;1430;;;0;0;0;0;0;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;13;1;21;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;6;1;9;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;2;0;0;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;12;1;19;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;8;1;12;
B;A;A;B;A;C;E;A;;;0;100027;10;;;0;0;0;0;0;0;;0;;;;;1;1;10;1;16;
B;A;A;B;A;C;E;A;;;;0;0;;;;0;;;0;;;;;0;;;1;1;2;1;3;
B;A;A;C;A;C;E;A;;2011;134;51;2;;12;0;0;61;56;853;4;2014;0;787;787;157;157;1;1;22;0;0;1157
B;A;A;C;A;C;E;A;;;128;0;0;;;243;0;;334;0;0;2007;;;0;;0;1;1;11;1;16;1863
B;A;A;C;A;C;E;A;;2008;589;183;17;;25;0;0;0;0;0;;;-2035;5567;5567;1253;1253;1;1;1;0;0;
B;A;A;C;A;C;E;A;;2008;1006;183;16;7;25;0;0;0;0;0;;;0;12118;12118;2727;2727;1;1;1;0;0;
C;A;A;B;A;C;E;A;;2002;;0;0;;;0;0;;;0;;;;;0;;;1;1;17;1;26;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;2;1;3;
B;A;A;B;A;C;E;A;;;400;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;14;1;22;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;8;1;12;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;14;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;7;1;10;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;7;1;10;
B;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;7;1;9;
C;A;A;B;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;8;1;10;
A;A;A;C;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;9;1;10;
A;A;A;C;A;C;E;A;;;;0;0;;;0;0;0;;;;2005;0;;256;;25;0;0;0;0;0;416
A;A;A;C;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;2091;;205;0;0;0;0;0;
F;A;A;C;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;6;1;10;
A;A;A;D;A;C;E;A;;;;280;23;;;;;;;0;;;0;2419;2568;919;976;1;1;51;1;64;
A;A;A;D;A;C;E;A;2002;1998;231;90;14;;;;;237;1272;670;52;2005;4;2242;2480;1199;1327;1;1;132;1;175;1073
A;A;A;D;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;
A;A;A;D;A;C;E;A;;;7;7;83;;20;0;0;0;;69;-2;2018;44;72;79;27;30;0;0;0;0;0;307
A;A;A;D;A;C;E;A;;;;0;35;;20;0;0;0;;274;-240;2016;;;75;;29;0;0;0;0;0;399
A;A;A;D;A;C;E;A;;;;0;25;;10;0;0;0;;639;-66;2015;;;137;;52;0;0;0;0;0;523
A;A;A;D;A;C;E;A;;;11;0;38;;20;;0;;;181;-66;2015;;300;210;114;80;1;1;1;1;1;673
A;A;A;D;A;C;E;A;;1996;725;200;35;;;;0;;219;0;1;1998;0;2670;2907;1015;1105;1;1;92;1;104;1245
A;A;A;D;A;C;E;A;;;0;5;36;;20;0;0;0;0;150;;;0;188;196;71;74;0;0;0;0;0;
A;A;A;D;A;C;E;A;;2003;658;266;59;4;20;228;62;365;926;2300;0;2014;0;18127;18357;5438;5507;1;1;922;1;1634;1813
A;A;A;D;A;C;E;A;;2003;611;274;37;4;25;244;91;364;1474;2727;-29;2013;-1;16353;14872;3925;3569;1;1;388;1;624;2055
A;A;A;D;A;C;E;A;;;35;203;82;;20;0;156;0;;1004;0;2015;0;698;447;265;170;1;1;5;1;3;628
A;A;A;D;A;C;E;A;2011;1995;483;140;45;1;35;212;224;519;630;1825;-4;2013;0;11102;11419;5940;6109;1;1;331;1;402;992
A;A;A;D;A;C;E;A;;1997;931;240;71;;;364;274;455;754;;0;2003;0;3650;4639;1387;1763;1;1;186;1;249;1328
A;A;A;D;A;C;E;A;;1999;820;185;44;;;303;400;274;755;;0;2005;0;5186;5948;1245;1428;1;1;236;1;235;1409
A;A;A;D;A;C;E;A;;2000;590;220;49;;;304;410;246;568;;191;2007;-1373;8493;9096;3227;3456;1;1;189;1;237;1527
A;A;A;D;A;C;E;A;;1998;505;199;34;4;;225;545;352;685;;149;2010;92;8362;8929;3178;3393;1;1;385;1;401;1577
B;A;A;D;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;161;;161;0;0;0;0;0;
B;A;A;D;A;C;E;A;;2007;84;43;7;;20;0;0;;347;427;0;2018;0;770;702;270;246;1;0;0;0;0;1843
B;A;A;D;A;C;E;A;;;;0;8;;;0;0;0;0;0;;;0;407;447;407;447;1;1;18;1;24;
C;A;A;D;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;2210;;2210;0;0;0;0;0;
D;A;A;D;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;148;;148;0;0;0;0;0;
E;A;A;D;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;395;;395;0;0;0;0;0;
F;A;A;D;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;1923;;1923;0;0;0;0;0;
A;A;A;D;A;C;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;13;1;21;
A;A;A;D;A;C;E;A;;;;0;0;;;;404;;;0;;;0;102;122;;;1;0;0;0;0;
A;A;A;B;A;C;E;A;;2008;;0;0;;;0;0;0;0;0;;;;;0;;;1;1;12;1;20;
A;A;A;B;;C;E;A;;;;0;0;;;0;0;0;0;0;;;;;0;;;1;1;3;1;3;
A;A;A;B;;C;E;A;;;;0;0;;;0;0;0;0;0;;;;;0;;;1;1;12;1;18;
A;A;A;B;;C;E;A;;1999;;250;32;;;;0;;;0;;;;;0;;;1;1;27;1;38;
C;A;A;B;;C;E;A;;1994;;170;0;;;0;0;0;0;0;0;;0;;;;;1;1;6;1;10;
C;A;A;B;;C;E;A;;1982;;0;0;;;0;0;0;0;0;;;;;0;;;1;1;6;1;6;
A;A;A;C;A;L;E;A;;2003;65;38;7;;16;0;1292;1330;1350;545;14;2012;0;0;2475;0;786;1;1;32;1;42;1193
A;A;A;C;A;L;E;A;;;;0;6;;;;;0;0;0;;;;;1806;;177;1;1;9;1;18;
F;A;A;C;A;L;E;A;;2009;40;0;4;;;0;0;0;0;0;0;;0;;890;;89;1;1;6;1;11;
A;A;A;D;A;L;E;A;;;;0;0;;;;;;882;0;36;2007;0;1047;1063;398;404;1;1;18;1;31;1106
A;A;A;D;A;L;E;A;;;;0;0;;;;0;;;0;;;0;399;296;152;112;1;1;4;1;8;
A;A;A;D;A;L;E;A;2009;;42;75;0;;20;254;487;423;683;0;258;2011;0;1151;1183;437;450;1;1;243;1;168;1595
A;A;A;D;A;L;E;A;;;;0;0;;;254;487;;;0;;;0;613;700;233;266;1;1;6;1;9;
A;A;A;D;A;L;E;A;;2000;41;0;0;;;254;487;;;0;;;0;669;690;254;262;1;1;9;1;15;
F;A;A;D;A;L;E;A;;1974;4;0;2;;;279;;;104;;17;2011;0;166;178;83;89;1;1;17;1;27;867
F;A;A;D;A;L;E;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;8;1;13;
F;A;A;D;A;L;E;A;;;;0;0;;;0;0;0;0;0;0;;;71;82;35;41;0;0;0;0;0;
F;A;A;D;A;L;E;A;;2008;17;0;0;;;173;151;;0;;20;2010;0;111;119;111;119;1;1;31;1;22;714
F;A;A;D;A;L;E;A;2012;2009;76;57;3;1;30;128;195;396;694;385;3;2014;0;986;708;394;283;1;1;45;1;35;1189
F;A;A;D;A;L;E;A;;2010;18;0;1;1;30;128;195;396;694;;0;2014;-3;349;349;140;140;1;1;28;1;38;1314
F;A;A;D;A;L;E;A;;2010;8;0;1;;;414;;308;226;;-116;2011;0;1375;1396;550;558;1;1;29;1;24;485
E;A;A;C;A;D;F;A;;;;0;0;;;0;0;0;0;0;;;;;565;;28;1;0;0;0;0;
C;A;A;B;A;D;F;A;;1994;;0;0;;;0;0;0;0;0;;;;;5000;;;1;1;6;1;7;
A;A;A;A;A;D;F;A;;;1117;25;0;;;;;;;0;;;1;7956;10746;1082;1461;1;1;6;1;7;
C;A;A;B;A;D;F;A;;1981;6034;0;18;;;0;0;0;0;;0;;0;;0;;;1;1;30;1;48;
C;A;A;B;A;D;F;A;;;;0;0;;;0;0;0;0;0;0;;0;;0;;;1;1;1;1;1;
B;A;A;B;A;D;F;A;;;;0;0;;;0;0;0;0;0;0;;0;;1700;;;0;0;0;0;0;
E;A;A;B;A;D;F;A;;;;0;0;;;0;0;0;0;0;;;;;1300;;;1;1;3;1;3;
C;A;A;B;A;D;F;A;;;;0;0;;;0;0;;;0;;;;;19000;;;1;1;18;1;26;
D;A;A;B;A;D;F;A;;;;0;0;;;0;0;0;0;0;;;;;0;;;1;1;14;1;19;
C;A;A;A;A;D;F;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;1;1;1;
C;A;A;C;A;D;F;A;;1972;;0;0;;;0;0;0;0;0;;;;;4900;;;1;1;4;1;5;
C;A;A;C;A;D;F;A;;2001;2918;343;18;19;40;69;0;1005;987;1700;18;2012;;43158;47165;11221;12263;1;1;230;1;4;2493
A;A;A;B;A;D;F;A;;;;0;0;;;0;0;0;0;0;;;;;1500;;;1;1;2;1;2;
E;A;A;B;A;D;F;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;1;1;1;
E;A;A;C;A;D;F;A;;;;0;0;;;0;0;0;0;0;;;;;2000;;111;1;1;8;1;10;
C;A;A;B;A;D;F;A;;;;0;0;;;0;0;0;0;0;;;;;1000;;;0;0;0;0;0;
C;A;A;B;A;D;F;A;;;;0;0;;;0;0;0;0;0;;;;;2030;;;0;0;0;0;0;
B;A;A;B;A;D;F;A;;;;0;0;;;0;0;0;0;0;;;;;3800;;;1;1;2;1;2;
E;A;A;B;A;D;F;A;;;;0;0;;;0;0;0;0;0;0;;0;;2000;;;0;0;0;0;0;
E;A;A;B;A;D;F;A;;1939;;0;0;;;0;0;0;0;0;;;;;5200;;;0;0;0;0;0;
E;A;A;B;A;D;F;A;;1971;;0;0;;;0;0;0;0;0;;;;;9600;;;1;1;8;1;8;
E;A;A;A;A;D;F;A;;;;0;0;;;;;;;0;;;;;1011;;101;1;0;0;0;0;
E;A;A;A;A;D;F;A;;;;0;0;;;0;0;0;0;0;0;;0;;104;;10;1;0;0;0;0;
E;A;A;A;A;D;F;A;;;;0;0;;;0;0;0;0;0;;;;;0;;0;1;1;8;1;9;
E;A;A;C;A;D;F;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;6;1;6;
E;A;A;C;A;D;F;A;;;;0;0;;;0;0;;;0;;;;;13000;;;1;1;11;1;17;
F;A;A;B;A;D;F;A;;;;0;0;;;0;0;0;0;0;;;;;32000;;;1;1;10;1;15;
C;A;A;B;A;D;F;A;;1995;;0;0;;;0;0;0;0;0;;;;;1700;;;1;1;2;1;2;
C;A;A;C;A;D;F;A;;2003;794;204;327;0;30;;0;742;742;0;0;2011;0;0;18500;0;5088;1;1;57;1;46;1959
C;A;A;B;A;D;F;A;;2007;585;88;8;;;0;0;0;0;;0;;0;;0;;;1;1;12;0;0;
F;A;A;C;A;D;F;A;;1981;33;0;9;;25;0;0;;;0;;;-130;20895;35968;3845;6618;1;1;34;1;49;
C;A;A;B;A;D;F;A;;;;0;0;;;0;0;0;0;0;0;;0;;33500;;;0;0;0;0;0;
C;A;A;B;A;D;F;A;;2005;;0;0;;;0;0;;;0;;;;;9600;;;1;1;2;1;2;
F;A;A;A;A;D;F;A;;1974;4560;520;197;17;25;0;0;985;1246;3418;104;2013;118;30694;31659;6139;6332;1;1;101;1;4;2620
E;A;A;A;A;D;F;A;;;1517;0;0;;;;0;;;0;;;0;;4134;;2092;1;1;55;1;74;
A;A;A;C;;D;F;A;;;;0;0;;;0;0;0;0;0;;;;;0;;0;0;0;0;0;0;
A;A;A;C;;D;F;A;;;;0;0;;;0;0;0;0;0;;;;;0;;0;0;0;0;0;0;
A;A;A;C;;D;F;A;;;;0;0;;;0;0;0;0;0;;;;;0;;0;0;0;0;0;0;
A;A;A;C;;D;F;A;;;;0;0;;;0;0;0;0;0;;;;;0;;0;0;0;0;0;0;
B;A;A;C;A;F;G;A;;;2720;182;0;40;;;482;608;486;0;1;2013;0;14846;18613;3652;4579;1;1;7;0;0;1550
B;A;A;D;A;G;G;A;;;;0;34;;;0;0;0;0;0;0;;;120;111;49;46;1;1;8;1;12;
B;A;A;D;A;J;G;A;2013;;6;3;6;1;;0;;0;;181;-143;2014;;331;183;149;82;0;0;0;0;0;709
B;A;A;D;A;K;G;A;;2012;105;27;41;4;15;107;319;424;201;;0;2018;0;631;631;259;259;0;0;0;0;0;246
B;A;A;D;A;K;G;A;;;12;9;12;1;15;;;0;0;0;0;;;275;297;113;122;0;0;0;0;0;
