Feature_1;Feature_2;Feature_3;Feature_4;Feature_5;Feature_6;Feature_7;Feature_8;Feature_9;Feature_10;Feature_11;Feature_12;Feature_13;Feature_14;Feature_15;Feature_16;Feature_17;Feature_18;Feature_19;Feature_20;Feature_21;Feature_22;Feature_23;Feature_24;Feature_25;Feature_26;Feature_27;Feature_28;Feature_29;Feature_30;Feature_31;Feature_32;Output
F;A;A;C;A;B;B;A;;;;0;25;;;0;0;0;0;0;0;;0;;;;;1;1;30;1;35;
F;A;A;C;A;B;B;A;;;;0;0;;;0;0;;;0;0;;;;4651;;1856;1;1;13;1;18;
F;A;A;C;A;B;B;A;;;203;0;36;;;0;0;;;0;;;0;8475;7294;3382;2910;1;1;23;1;30;
F;A;A;C;A;B;B;A;;;;0;0;;;0;0;214;;0;;;0;630;563;252;225;0;0;0;0;0;
F;A;A;C;A;B;B;A;;;59;0;8;;;0;0;0;0;0;;;0;752;714;300;285;0;0;0;0;0;
F;A;A;C;A;B;B;A;;;252;55;0;;;;248;232;242;0;-10;2011;0;23136;23066;9231;9203;1;1;63;1;83;1410
F;A;A;C;A;B;B;A;;;;0;0;;;;402;;;0;;;63;9986;1683;3984;672;1;1;19;1;27;
F;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;;;0;;;1;1;4;1;8;
F;A;A;B;A;B;B;A;;1981;;0;24;;;0;0;0;0;0;;;;;0;;;1;1;6;1;11;
F;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;;;0;;;1;1;8;1;15;
F;A;A;C;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;651;;33;0;0;0;0;0;
F;A;A;C;A;B;B;A;;1981;;0;0;;;0;0;0;0;0;;;;;0;;0;1;1;25;1;36;
F;A;A;C;A;B;B;A;;1994;;0;11;;;0;0;0;0;0;;;;;0;;0;1;1;18;1;29;
F;A;A;D;A;B;B;A;2011;1976;250;145;11;5;20;140;210;475;64;2344;412;2011;-70;29992;41314;;;1;1;467;1;10;2749
A;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;;;0;;;1;1;2;1;3;
F;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;;;0;;0;1;1;9;1;17;
B;A;A;C;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;1;1;2;
C;A;A;C;A;B;B;A;;;;10;0;;;;;;;;;;0;;0;;0;1;1;37;1;52;
C;A;A;C;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;132;;44;1;1;3;1;6;
C;A;A;C;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;;;0;;0;1;1;2;1;2;
C;A;A;C;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;;;0;;0;0;0;0;0;0;
F;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;6;1;9;
F;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;7;1;10;
F;A;A;B;A;B;B;A;;1981;;0;0;;;0;0;0;0;0;;;;;0;;0;1;1;1;1;1;
F;A;A;B;A;B;B;A;;1974;;0;0;;;0;0;0;0;0;;;;;0;;0;1;1;5;1;9;
F;A;A;C;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;1852;;185;0;0;0;0;0;
F;A;A;C;A;B;B;A;;1974;266;121;14;5;25;0;0;445;383;;59;2012;0;29401;28038;4410;4206;1;1;39;0;0;1613
F;A;A;C;A;B;B;A;;;50;0;0;;;0;0;0;0;0;0;;0;;665;;145;0;0;0;0;0;
F;A;A;C;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;913;;134;0;0;0;0;0;
B;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;8;1;13;
E;A;A;C;A;B;B;A;;;;41;14;3;;0;0;0;0;0;;;;;50;;19;0;0;0;0;0;
A;A;A;D;A;B;B;A;;1962;82;15;41;2;;1154;;852;639;;55;2010;0;2273;2534;2273;2534;1;1;79;1;82;1121
A;A;A;D;A;B;B;A;2005;1989;223;75;54;1;25;;;368;722;1006;1750;2006;0;6044;6277;2418;2511;1;1;138;1;123;3629
A;A;A;D;A;B;B;A;;;500;130;31;;;0;0;;-62;0;843;1998;1;1261;1522;383;463;1;1;161;1;92;1839
A;A;A;D;A;B;B;A;;;304;0;30;;;0;0;0;0;0;0;;0;;0;;0;1;0;0;0;0;
A;A;A;D;A;B;B;A;;;331;10;8;;;0;0;;;0;;;0;564;1118;171;340;1;1;80;1;67;
A;A;A;D;A;B;B;A;;;;0;0;;30;0;0;122;;0;;;61;46;25;29;16;0;0;0;0;0;
A;A;A;D;A;B;B;A;;;17;0;4;;;272;185;;;0;;;0;305;341;198;222;1;1;83;1;47;
B;A;A;D;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;304;;114;1;1;25;1;39;
B;A;A;D;A;B;B;A;;;155;0;10;;;0;0;0;0;0;;;0;242;280;62;72;1;1;2;1;3;
B;A;A;D;A;B;B;A;;;;0;0;;;0;0;;;0;;;6;;30;;11;1;0;0;0;0;
B;A;A;D;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;0;82;116;31;43;0;0;0;0;0;
B;A;A;D;A;B;B;A;2010;1981;10;62;3;17;20;175;1235;299;1146;367;6;2013;808;1190;1079;446;405;1;1;201;1;252;896
B;A;A;D;A;B;B;A;;;55;0;0;2;;0;;747;1052;0;0;2017;30;203;170;76;64;1;1;34;0;0;690
C;A;A;D;A;B;B;A;2013;1974;60;22;6;4;30;196;;294;417;119;1;2014;0;733;575;229;180;1;1;291;1;278;962
C;A;A;D;A;B;B;A;;1978;983;95;16;30;;352;;411;270;0;3;2011;18;487;508;152;159;1;1;81;1;103;1021
C;A;A;D;A;B;B;A;;;103;0;0;;;;;;;;;;0;383;349;191;175;1;1;156;1;119;
C;A;A;D;A;B;B;A;;;21;0;23;;;0;0;;;0;0;;0;;;;;0;0;0;0;0;
C;A;A;D;A;B;B;A;;;;0;0;;;0;0;;;0;0;;0;;116;;58;1;1;16;1;25;
C;A;A;D;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;
C;A;A;D;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;1;;1;0;0;0;0;0;
C;A;A;D;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;
C;A;A;D;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;
C;A;A;D;A;B;B;A;;;24;0;14;;;;0;;140;0;0;2008;0;38;41;19;20;1;0;0;0;0;1350
C;A;A;D;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;0;80;77;40;39;1;1;2;0;0;
C;A;A;D;A;B;B;A;;;1034;0;0;;;0;0;0;0;0;;;0;428;447;214;224;0;0;0;0;0;
C;A;A;D;A;B;B;A;;;185;0;0;;;0;0;0;0;0;;;252;515;482;116;108;1;1;99;1;84;
C;A;A;D;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;0;219;240;68;75;1;1;1;1;1;
C;A;A;D;A;B;B;A;2011;2007;123;53;6;8;20;347;172;344;665;761;20;2013;275;1346;912;505;342;1;1;172;1;168;927
C;A;A;D;A;B;B;A;;;43;0;14;;;274;182;;543;;0;2012;0;115;101;57;50;1;1;65;1;33;886
C;A;A;D;A;B;B;A;;;110;0;0;;;274;182;;543;;0;2012;210;327;304;163;152;1;1;33;1;41;886
C;A;A;D;A;B;B;A;;;44;25;15;;;104;210;;666;0;0;2012;0;212;203;48;46;1;1;135;1;79;886
C;A;A;D;A;B;B;A;;;16;0;7;;;259;238;;;;;;0;120;129;60;65;1;1;20;1;31;
C;A;A;D;A;B;B;A;;;15;0;0;;;276;294;0;0;0;;;0;81;51;40;25;1;1;95;1;81;
C;A;A;D;A;B;B;A;;;68;0;14;;;0;;;185;0;153;2010;0;44;44;10;10;1;1;1;1;1;941
C;A;A;D;A;B;B;A;;;;0;0;;;0;;135;;;;;1390;;95;;48;1;0;0;0;0;
E;A;A;D;A;B;B;A;;;144;35;10;;;;;;400;0;74;2001;0;310;337;116;126;1;1;34;1;51;984
E;A;A;D;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;693;;381;1;0;0;0;0;
E;A;A;D;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;;;;;;1;1;7;1;9;
E;A;A;D;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;0;169;231;79;108;1;1;12;1;18;
E;A;A;D;A;B;B;A;;1969;;0;0;;;0;0;0;0;0;0;;;25;25;3;3;0;0;0;0;0;
F;A;A;D;A;B;B;A;;;3;4;11;;10;0;;131;90;0;-65;2016;;42;42;23;23;0;0;0;0;0;333
F;A;A;D;A;B;B;A;;;;0;0;;;0;0;;;0;0;;0;;30;;15;1;0;0;0;0;
F;A;A;D;A;B;B;A;;2008;308;89;7;3;14;;0;456;499;1826;29;2015;85;5000;4262;2500;2131;1;1;227;1;273;1394
F;A;A;D;A;B;B;A;;1986;304;15;13;;;0;0;0;0;0;;;0;1618;1650;747;762;1;1;58;1;89;
F;A;A;D;A;B;B;A;;;;0;0;;;0;0;;;0;;;0;6927;8606;4641;5766;1;1;2;1;4;
F;A;A;D;A;B;B;A;;;33;0;4;;;;0;;;0;;;0;299;262;149;131;1;1;28;1;38;
F;A;A;D;A;B;B;A;;1973;;0;0;4;;;0;86;;0;;;0;120;227;120;227;1;1;1;1;1;
